ano,instituicao,titulo,autor,link
2018,Universidade do Estado de Minas Gerais,Meios de comunicação na territorialização do capital,"BARROS, Janaina Visibeli",http://scholar.google.com/scholar_url?url=https://www.revistas.usp.br/matrizes/article/download/163315/167658&hl=pt-BR&sa=X&d=4052476385242069025&ei=NJPzX5mNINLKsQKt2aXIBA&scisig=AAGBfm2T6Pqx6J_5ZRff08SW4zZDJzeePA&nossl=1&oi=scholaralrt&hist=Q9uKDNIAAAAJ:9265638840102346028:AAGBfm0JBH_c9kIhtfDQ6hCA4cmAEBAGag&html=
2018,Universidade de São Paulo,Notícias de Segunda Mão: os jornais locais e a cobertura política,"NUNOMURA, Eduardo Yoshio",https://www.teses.usp.br/teses/disponiveis/27/27153/tde-19092018-152451/en.php
2018,Université catholique de Louvain,O dereito de informar e comunicar na América Latina,"SUZINA, Ana Cristina",https://revistas.usc.gal/index.php/ricd/article/view/5690
2018,Universidade Federal Fluminense,"O deserto da notícia no interior Brasil – apontamentos para uma pesquisa1","DEOLINDO, Jacqueline da Silva ",http://www.intercom.org.br/sis/eventos/2018/resumos/R13-2022-2.pdf
2018,Universidade Federal de Santa Catarina,O jornalismo no banco dos réus: análise de ações de indenização por dano moral julgadas pelo TJSC entre 2010 e 2017,"MACHADO, Caetano",https://repositorio.ufsc.br/handle/123456789/191057
2018,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,O Papel Das Novas Mídias Na Formação De Uma Cultura Dos Direitos Humanos,"ARAUJO, Vinicius Bindé Arbo de ",https://bibliodigital.unijui.edu.br:8443/xmlui/bitstream/handle/123456789/6276/Vinicius%20Bind%c3%a9%20Arbo%20de%20Araujo.pdf?sequence=1&isAllowed=y
2018,FIAM-FAAM Centro Universitário,O perfil do jornalista das periferias de São Paulo: resultados iniciais1,"NONATO, Cláudia",http://www.intercom.org.br/sis/eventos/2018/resumos/R13-0402-1.pdf
2018,Projor – Instituto para o Desenvolvimento do Jornalismo,Observatório da Imprensa Uma antologia da crítica de mídia no Brasil de 1996 a 2018,"VARONI, Pedro; OLIVEIRA, Lucy",https://issuu.com/observatoriodaimprensa/docs/ebook_oi_final
2018,Universidade Federal do Paraná; Universidade Federal do Ceará,RECONFIGURAÇÃO DOS POLOS IDEOLÓGICO E ECONÔMICO: EXPERIÊNCIAS DE PROFISSIONAIS EM TEMPOS DE JORNALISMO PÓSINDUSTRIAL NO BRASIL,"LIALI, Nicholle Ferreira Murmel",https://acervodigital.ufpr.br/bitstream/handle/1884/58768/R%20-%20D%20-%20NICHOLLE%20FERREIRA%20MURMELL%20LIALI.pdf;jsessionid=5404985DE626A9A69D55FE272972F502?sequence=1
2018,ESPM,Vida longa ao Projor ,"PIMENTA, Angela",https://arquivo.espm.edu.br/revista/jornalismo/2018-jan-jun/66-67/
2017,Projor – Instituto para o Desenvolvimento do Jornalismo,O ponto de partida do mapa do jornalismo brasileiro no século 21,"PIMENTA, Angela",http://www.observatoriodaimprensa.com.br/atlas-da-noticia/o-ponto-de-partida-do-mapa--do-jornalismo-brasileiro-no-seculo-21/
