Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
353140,3531407,MONTE APRAZÍVEL,n/d,SP,Sudeste,1,4.6,Brasil,21662,0.785,0.56,0.72,0.861,0.781,1032.05
314290,3142908,MONTE AZUL,n/d,MG,Sudeste,1,4.6,Brasil,21857,0.659,0.358,0.578,0.811,0.611,358.13
314300,3143005,MONTE BELO,n/d,MG,Sudeste,1,7.8,Brasil,12789,0.688,0.342,0.567,0.847,0.677,539.84
421105,4211058,MONTE CARLO,n/d,SC,Sul,1,10.8,Brasil,9294,0.643,0.331,0.511,0.804,0.648,449.82
421110,4211108,MONTE CASTELO,n/d,SC,Sul,1,12.0,Brasil,8336,0.675,0.373,0.581,0.826,0.641,432.84
314320,3143203,MONTE SANTO DE MINAS,n/d,MG,Sudeste,1,4.7,Brasil,21078,0.71,0.404,0.595,0.874,0.689,584.09
314340,3143401,MONTE SIÃO,n/d,MG,Sudeste,1,4.8,Brasil,21033,0.724,0.408,0.59,0.878,0.732,760.69
431240,4312401,MONTENEGRO,RM Porto Alegre,RS,Sul,1,1.7,Brasil,58537,0.755,0.575,0.654,0.866,0.761,914.23
521370,5213707,MONTES CLAROS DE GOIÁS,n/d,GO,Centro-Oeste,1,12.7,Brasil,7901,0.707,0.444,0.622,0.806,0.704,637.58
421120,4211207,MORRO DA FUMAÇA,n/d,SC,Sul,1,6.2,Brasil,16097,0.738,0.483,0.665,0.825,0.732,759.25
292170,2921708,MORRO DO CHAPÉU,n/d,BA,Nordeste,1,2.8,Brasil,35091,0.588,0.315,0.478,0.766,0.554,250.88
314370,3143708,MORRO DO PILAR,n/d,MG,Sudeste,1,29.5,Brasil,3392,0.597,0.259,0.422,0.809,0.622,382.62
292180,2921807,MORTUGABA,n/d,BA,Nordeste,1,8.0,Brasil,12443,0.618,0.319,0.513,0.771,0.598,330.3
521390,5213905,MOSSÂMEDES,n/d,GO,Centro-Oeste,1,20.0,Brasil,5007,0.706,0.378,0.623,0.811,0.696,607.34
521400,5214002,MOZARLÂNDIA,n/d,GO,Centro-Oeste,1,7.5,Brasil,13316,0.683,0.447,0.565,0.825,0.684,562.97
500568,5005681,MUNDO NOVO,n/d,MS,Centro-Oeste,1,5.9,Brasil,16947,0.686,0.433,0.565,0.808,0.707,652.56
314380,3143807,MUNHOZ,n/d,MG,Sudeste,1,16.1,Brasil,6227,0.647,0.327,0.52,0.821,0.634,412.79
320370,3203700,MUNIZ FREIRE,n/d,ES,Sudeste,1,5.4,Brasil,18377,0.645,0.328,0.512,0.821,0.637,421.86
320380,3203809,MUQUI,n/d,ES,Sudeste,1,7.0,Brasil,14304,0.694,0.446,0.619,0.802,0.673,528.68
270550,2705507,MURICI,n/d,AL,Nordeste,1,4.0,Brasil,24945,0.527,0.258,0.395,0.685,0.542,233.16
314400,3144003,MUTUM,n/d,MG,Sudeste,1,3.8,Brasil,26563,0.644,0.321,0.511,0.822,0.635,415.41
