id,cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
id5330,SAPIRANGA,Jornal,431990,5,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,74784,713.99,0.46,0.711,0.598,0.832,0.722
id5741,URUGUAIANA,Jornal,432240,5,n/d,RS,Rio Grande do Sul,S,Brasil,124283,714.26,0.606,0.744,0.661,0.863,0.722
id1324,ALTA FLORESTA,Jornal,510025,5,n/d,MT,Mato Grosso,CO,Brasil,48593,660.84,0.496,0.714,0.629,0.817,0.709
id582,CALDAS NOVAS,Jornal,520450,5,n/d,GO,Goiás,CO,Brasil,69852,794.78,0.573,0.733,0.64,0.832,0.739
id606,GOIANÉSIA,Jornal,520860,5,n/d,GO,Goiás,CO,Brasil,59125,701.38,0.472,0.727,0.636,0.84,0.719
id646,ITUMBIARA,Jornal,521150,5,n/d,GO,Goiás,CO,Brasil,92229,821.43,0.556,0.752,0.682,0.838,0.744
id685,SENADOR CANEDO,Jornal,522045,5,n/d,GO,Goiás,CO,Brasil,84279,537.58,0.538,0.701,0.617,0.827,0.676
id5791,BOA VISTA,Jornal,140010,4,n/d,RR,Roraima,N,Brasil,281538,786.55,0.687,0.752,0.708,0.816,0.737
id1420,PARAUAPEBAS,Jornal,150553,4,n/d,PA,Pará,N,Brasil,153443,627.61,0.603,0.715,0.644,0.809,0.701
id1425,SANTARÉM,Jornal,150680,4,n/d,PA,Pará,N,Brasil,293064,409.07,0.569,0.691,0.648,0.807,0.632
id5803,TERESINA,Jornal,221100,4,n/d,PI,Piauí,NE,Brasil,806168,757.57,0.642,0.751,0.707,0.82,0.731
id2269,MOSSORÓ,Jornal,240800,4,n/d,RN,Rio Grande do Norte,NE,Brasil,258460,600.28,0.565,0.72,0.663,0.811,0.694
id130,FEIRA DE SANTANA,Jornal,291080,4,n/d,BA,Bahia,NE,Brasil,552741,662.24,0.576,0.712,0.619,0.82,0.71
id5628,ITABUNA,Jornal,291480,4,n/d,BA,Bahia,NE,Brasil,203181,605.12,0.576,0.712,0.643,0.807,0.695
id146,JEQUIÉ,Jornal,291800,4,n/d,BA,Bahia,NE,Brasil,150577,473.92,0.49,0.665,0.568,0.79,0.656
id174,TEIXEIRA DE FREITAS,Jornal,293135,4,n/d,BA,Bahia,NE,Brasil,136656,560.73,0.503,0.685,0.588,0.8,0.683
id937,FRUTAL,Jornal,312710,4,n/d,MG,Minas Gerais,SE,Brasil,53170,752.01,0.487,0.73,0.615,0.865,0.73
id5649,MONTES CLAROS,Jornal,314330,4,n/d,MG,Minas Gerais,SE,Brasil,359278,650.62,0.646,0.77,0.744,0.868,0.707
id1048,OURO PRETO,Jornal,314610,4,n/d,MG,Minas Gerais,SE,Brasil,69836,710.55,0.584,0.741,0.677,0.834,0.721
