Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
412440,4124400,SANTO ANTÔNIO DO SUDOESTE,n/d,PR,Sul,1,5.3,Brasil,18844,0.671,0.37,0.543,0.807,0.69,585.95
431780,4317806,SANTO AUGUSTO,n/d,RS,Sul,1,7.2,Brasil,13958,0.739,0.464,0.637,0.84,0.753,866.86
431790,4317905,SANTO CRISTO,n/d,RS,Sul,1,7.0,Brasil,14290,0.738,0.453,0.656,0.82,0.746,832.4
316070,3160702,SANTOS DUMONT,n/d,MG,Sudeste,1,2.2,Brasil,46132,0.741,0.553,0.697,0.847,0.688,578.64
330550,3305505,SAQUAREMA,n/d,RJ,Sudeste,1,1.4,Brasil,73920,0.709,0.566,0.621,0.804,0.714,681.62
412625,4126256,SARANDI,n/d,PR,Sul,1,1.2,Brasil,82728,0.695,0.427,0.579,0.85,0.681,554.48
421730,4217303,SAUDADES,n/d,SC,Sul,1,11.1,Brasil,8988,0.755,0.479,0.7,0.85,0.723,719.94
292980,2929800,SAÚDE,n/d,BA,Nordeste,1,8.5,Brasil,11825,0.549,0.3,0.442,0.685,0.546,238.81
421750,4217501,SEARA,n/d,SC,Sul,1,5.9,Brasil,16884,0.779,0.505,0.674,0.872,0.804,1188.18
432020,4320206,SEBERI,n/d,RS,Sul,1,9.2,Brasil,10856,0.723,0.41,0.62,0.865,0.706,645.51
120045,1200450,SENADOR GUIOMARD,n/d,AC,Norte,1,5.0,Brasil,20006,0.64,0.386,0.513,0.786,0.649,455.06
293015,2930154,SERRA DO RAMALHO,n/d,BA,Nordeste,1,3.2,Brasil,31527,0.595,0.349,0.512,0.775,0.53,216.59
355160,3551603,SERRA NEGRA,n/d,SP,Sudeste,1,3.8,Brasil,26297,0.767,0.511,0.676,0.873,0.764,927.39
355150,3551504,SERRANA,n/d,SP,Sudeste,1,2.6,Brasil,38742,0.729,0.533,0.65,0.835,0.713,677.75
261410,2614105,SERTÂNIA,n/d,PE,Nordeste,1,3.0,Brasil,33725,0.613,0.351,0.51,0.752,0.601,337.53
355170,3551702,SERTÃOZINHO,n/d,SP,Sudeste,1,0.9,Brasil,109549,0.761,0.561,0.672,0.855,0.768,953.23
500770,5007703,SETE QUEDAS,n/d,MS,Centro-Oeste,1,9.4,Brasil,10658,0.614,0.323,0.45,0.778,0.66,487
500790,5007901,SIDROLÂNDIA,n/d,MS,Centro-Oeste,1,2.4,Brasil,41906,0.686,0.408,0.561,0.829,0.694,599.76
221080,2210805,SIMPLÍCIO MENDES,n/d,PI,Nordeste,1,8.3,Brasil,11993,0.627,0.379,0.525,0.767,0.613,362.56
280710,2807105,SIMÃO DIAS,n/d,SE,Nordeste,1,2.6,Brasil,38564,0.604,0.316,0.492,0.775,0.579,293.99
355210,3552106,SOCORRO,n/d,SP,Sudeste,1,2.7,Brasil,36547,0.729,0.462,0.634,0.828,0.737,785.71
251610,2516102,SOLEDADE,n/d,PB,Nordeste,1,7.3,Brasil,13704,0.616,0.351,0.506,0.772,0.598,330.05
432080,4320800,SOLEDADE,n/d,RS,Sul,1,3.4,Brasil,29754,0.731,0.509,0.625,0.861,0.727,737.92
231300,2313005,SOLONÓPOLE,n/d,CE,Nordeste,1,5.7,Brasil,17562,0.625,0.368,0.574,0.754,0.565,269.25
251600,2516003,SOLÂNEA,n/d,PB,Nordeste,1,3.8,Brasil,26618,0.595,0.301,0.468,0.762,0.592,318.38
293080,2930808,SOUTO SOARES,n/d,BA,Nordeste,1,6.3,Brasil,15844,0.592,0.324,0.53,0.734,0.533,220.67
355240,3552403,SUMARÉ,n/d,SP,Sudeste,1,0.4,Brasil,241007,0.762,0.6,0.705,0.845,0.744,820.03
251390,2513901,SÃO BENTO,n/d,PB,Nordeste,1,3.2,Brasil,30798,0.58,0.243,0.424,0.769,0.597,328.99
316090,3160900,SÃO BRÁS DO SUAÇUÍ,n/d,MG,Sudeste,1,28.5,Brasil,3513,0.664,0.388,0.541,0.801,0.675,532.9
354880,3548807,SÃO CAETANO DO SUL,RM São Paulo,SP,Sudeste,1,0.7,Brasil,148195,0.862,0.762,0.811,0.887,0.891,2043.74
280670,2806701,SÃO CRISTÓVÃO,n/d,SE,Nordeste,1,1.3,Brasil,78562,0.662,0.516,0.581,0.8,0.624,388.36
421610,4216107,SÃO DOMINGOS,n/d,SC,Sul,1,10.6,Brasil,9418,0.765,0.46,0.675,0.861,0.769,956.19
316100,3161007,SÃO DOMINGOS DO PRATA,n/d,MG,Sudeste,1,5.8,Brasil,17251,0.69,0.375,0.593,0.823,0.674,531.92
